Location,First Submitted Date,Last Submitted Date,D.O.S.,Claim Aging Days,Insurance Aging Days,Claim ID,Patient Name,Patient ID,D.O.B,Subscriber,Subscriber ID/SSN,Service Type,Billed Amt.,Ins. Amt,Ins. Paid,Paid Date,Outst. Amt.,Claim Status,Claim Flag,Mode,Claim Order,Provider,Provider TIN/NPI,Carrier,Carrier ID,Phone Number,Group Number,Plan Name,Plan Type,Remarks,Last Updated On,Last Updated By
"COLUMBIA",,,1/30/2021,"In 30","Over 120",18,"CareStack, Child 1","1002","03/01/2018","CareStack, Dad","12323213","Regular","$44.00","$35.00","$0.00",,"$35.00","Saved","","Paper Based","Primary Dental","AKLINE","1922529908","Aetna (Multiple Address Example)","","(800) 451-7715","123098","Aetna Plan A","PPO","Claim Remarks - 
Notes - ",12/15/2021,"NOC Team, CareStack"
"HWD",,,2/1/2021,"In 30","Over 120",19,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$60.00","$0.00",,"$60.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - 
Notes - ",12/15/2021,"NOC Team, CareStack"
"COLUMBIA",,,3/2/2021,"In 30","Over 120",20,"Leyva, Nancy","1113","01/01/2015","Leyva, Mom","123987456","Regular","$488.00","$0.00","$0.00",,"$0.00","Saved With Errors","","Paper Based","Primary Dental","JSMITH","3333333333","Cigna","","(800) 244-6224","123232","Private Insurance","Indemnity","Claim Remarks - 
Notes - ",12/15/2021,"NOC Team, CareStack"
"HWD",,,5/1/2021,"In 30","Over 120",23,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$60.00","$0.00",,"$60.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - 
Notes - ",12/15/2021,"NOC Team, CareStack"
"COLUMBIA",,,8/1/2020,"In 30","Over 120",24,"Ortho, Testing","1056","01/01/2004","Patient, Test","123456","Ortho","$0.00","$960.00","$0.00",,"$960.00","Saved","","Paper Based","Primary Dental","AKLINE","1922529908","Aetna (Multiple Address Example)","","(800) 451-7715","123098","Aetna Plan A","PPO","Claim Remarks - sds
Notes - ",12/15/2021,"NOC Team, CareStack"
"HWD",,,7/1/2021,"In 30","Over 120",25,"Singh, Navtej","1132","09/21/1979","Singh, Navtej","123456","Regular","$0.00","$0.00","$0.00",,"$0.00","Saved With Errors","","Electronic","Primary Dental","KULLER","1234567890","delta dental of tn","cdtn1","(800) 223-3104","8404","Williamson County Goverment","PPO","Claim Remarks - 
Notes - ",12/15/2021,"NOC Team, CareStack"
"COLUMBIA",,,7/6/2021,"In 30","Over 120",26,"Ortho, Testing","1056","01/01/2004","Patient, Test","123456","Regular","$194.00","$0.00","$0.00",,"$0.00","Saved","","Paper Based","Primary Dental","AKLINE","1922529908","Aetna (Multiple Address Example)","","(800) 451-7715","123098","Aetna Plan A","PPO","Claim Remarks - 
Notes - ",12/15/2021,"NOC Team, CareStack"
"HWD",,,8/1/2021,"In 30","Over 120",27,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$60.00","$0.00",,"$60.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - 
Notes - ",12/15/2021,"NOC Team, CareStack"
"COLUMBIA",,,8/24/2021,"In 30","Over 120",28,"Bob, Jane","1147","11/11/1980","Bob, Jane","sfd232","Regular","$321.00","$0.00","$0.00",,"$0.00","Ready To Send","","Electronic","Primary Dental","DRSAM","0000000000","delta dental of tn","cdtn1","(800) 223-3104","8404","Williamson County Goverment","PPO","Claim Remarks - ...
Notes - ",12/17/2021,"NOC Team, CareStack"
"HWD",,,11/1/2021,"In 30","Over 120",29,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$60.00","$0.00",,"$60.00","Saved","","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - its not
Notes - ",5/9/2023,"Reddy, Laxim"
"COLUMBIA",,,2/3/2022,"In 30","Over 120",31,"Thomas, Brandon","1204","02/03/2022","Thomas, Michael","123456","Regular","$219.00","$0.00","$0.00",,"$0.00","Saved","","Paper Based","Primary Dental","AKLINE","1922529908","Cigna","","(800) 244-6224","45678","Cigna Silver Plan","Indemnity","Claim Remarks - 
Notes - ",2/3/2022,"NOC Team, CareStack"
"COLUMBIA",,,2/3/2022,"In 30","Over 120",32,"Thomas, Brandon","1204","02/03/2022","Thomas, Michael","123456","Regular","$0.00","$0.00","$0.00",,"$0.00","Saved","","Paper Based","Primary Dental","AKLINE","1922529908","Cigna","","(800) 244-6224","45678","Cigna Silver Plan","Indemnity","Claim Remarks - 
Notes - ",2/3/2022,"NOC Team, CareStack"
"COLUMBIA",,,2/3/2022,"In 30","Over 120",33,"Thomas, Brandon","1204","02/03/2022","Thomas, Michael","123456","Regular","$80.00","$0.00","$0.00",,"$0.00","Saved","","Paper Based","Primary Dental","AKLINE","1922529908","Cigna","","(800) 244-6224","45678","Cigna Silver Plan","Indemnity","Claim Remarks - 
Notes - ",2/3/2022,"NOC Team, CareStack"
"COLUMBIA",,,3/10/2022,"In 30","Over 120",37,"McTester, Test ","1078","01/05/1995","McTester, Test ","54564","Regular","$900.00","$504.80","$0.00",,"$504.80","Saved","","Paper Based","Primary Dental","AKLINE","1922529908","Cigna","","(800) 244-6224","123232","Private Insurance","Indemnity","Claim Remarks - 
Notes - ",3/10/2022,"NOC Team, CareStack"
"HWD",,,7/7/2020,"In 30","Over 120",38,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$300.00","$0.00",,"$300.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - 
Notes - ",5/1/2022,"NOC Team, CareStack"
"COLUMBIA",,,5/26/2022,"In 30","Over 120",40,"Bo, Joe ","1216","06/15/1887","Bo, Joe ","AN7895461100","Regular","$276.00","$0.00","$0.00",,"$0.00","Saved","","Paper Based","Primary Dental","BSMILE","7777777777","Cigna","","(800) 244-6224","45678","Cigna Silver Plan","Indemnity","Claim Remarks - fixed-LR
Notes - ",5/27/2022,"NOC Team, CareStack"
"COLUMBIA",,,8/1/2021,"In 30","Over 120",42,"Ortho, Testing","1056","01/01/2004","Patient, Test","123456","Ortho","$0.00","$640.00","$0.00",,"$640.00","Saved","","Paper Based","Primary Dental","AKLINE","1922529908","Aetna (Multiple Address Example)","","(800) 451-7715","123098","Aetna Plan A","PPO","Claim Remarks - 
Notes - ",7/1/2022,"NOC Team, CareStack"
"HWD",,,8/1/2022,"In 30","Over 120",43,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$60.00","$0.00",,"$60.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - 
Notes - ",8/1/2022,"NOC Team, CareStack"
"COLUMBIA",3/31/2023,3/31/2023,8/15/2022,"Over 120","Over 120",44,"Patel, Jay","1254","05/15/1990","Patel, Jay","123456789","Regular","$741.00","$370.50","$0.00",,"$370.50","Submitted (Payor)","","Paper Based","Primary Dental","AKLINE","1922529908","Delta Dental of California","","","11111111","Delta Dental MOCK Plan","PPO","Claim Remarks - 
Notes - ",3/31/2023,"Elperin, Igor"
"COLUMBIA",1/8/2023,1/8/2023,1/7/2023,"Over 120","Over 120",47,"Test, Jay","1297","01/01/2008","Test, Jay","123456789","Regular","$141.00","$0.00","$0.00",,"$0.00","Submitted (Payor)","Claim in Process","Paper Based","Primary Dental","BSMILE","7777777777","Aetna (Multiple Address Example)","","(800) 451-7715","123098","Aetna Plan A","PPO","Claim Remarks - test
Notes - ",1/8/2023,"Bonde, Ram"
"HWD",5/9/2023,5/9/2023,2/1/2023,"Over 120","Over 120",48,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$60.00","$40.00",2/2/2025,"$20.00","Partially Paid","","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - Resubmit claim
Notes - ",2/2/2025,"Dong, Kevin"
"COLUMBIA",,,4/5/2023,"In 30","Over 120",49,"AA , Bruno Test","1290","11/09/2022","AA , Bruno Test","9999","Regular","$71.00","$0.00","$0.00",,"$0.00","Ready To Send","","Electronic","Primary Dental","JSMITH","3333333333","Delta Dental GA","914738451","(800) 524-0149","3365","Jason Smith","PPO","Claim Remarks - 
Notes - ",5/9/2023,"Reddy, Laxim"
"HWD",,,5/1/2023,"In 30","Over 120",50,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$60.00","$0.00",,"$60.00","Saved","","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - its being updated now
Notes - ",5/9/2023,"Reddy, Laxim"
"COLUMBIA",,,4/21/2023,"In 30","Over 120",51,"Arava, Sam","1334","01/01/1980","Arava, Sam","22346","Regular","$341.00","$304.00","$0.00",,"$304.00","Ready To Send","","Electronic","Primary Dental","AKLINE","1922529908","TEST","G123123","","444","whats up yo","PPO","Claim Remarks - 
Notes - ",5/23/2023,"Parker, Eli"
"COLUMBIA",10/26/2023,10/26/2023,4/21/2023,"Over 120","Over 120",52,"Arava, Sam","1334","01/01/1980","Arava, Sam","123456789","Regular","$341.00","$304.00","$50.00",2/1/2025,"$254.00","Reopened","Claim Paid","Paper Based","Secondary Dental","AKLINE","1922529908","Cigna","","(800) 244-6224","123232","Private Insurance","Indemnity","Claim Remarks - Primary Claim paid $0.00Secondary Claim of Primary Claim #51,Send today ,additional payment
Notes - ",7/15/2025,"Srivastava, Sandeep"
"COLUMBIA",,,5/31/2023,"In 30","Over 120",53,"Smith, Jason","1077","07/27/1997","Smith, Jason","914738451","Regular","$3,913.00","$0.00","$0.00",,"$0.00","Saved","","Electronic","Primary Dental","AKLINE","1922529908","Delta Dental GA","914738451","(800) 524-0149","3365","Jason Smith","PPO","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,6/9/2023,"In 30","Over 120",54,"Hall, Dan","1010","01/01/1995","Hall, Dan","564654151","Regular","$111.00","$0.00","$0.00",,"$0.00","Saved With Errors","","Paper Based","Primary Dental","JSMITH","3333333333","Cigna","","(800) 244-6224","123232","Private Insurance","Indemnity","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,3/31/2023,"In 30","Over 120",55,"Test, Test","1340","08/24/1995","Test, Test","9999999999","Regular","$232.00","$232.00","$0.00",,"$232.00","Saved","","Electronic","Primary Dental","AKLINE","1922529908","DELTA DENTAL OF WA","91062","(800) 554-1907","03000-90010","WA St Active","PPO","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,5/23/2023,"In 30","Over 120",56,"Allen, Amber","1362","05/27/1984","Allen, Amber","123456789","Regular","$373.00","$0.00","$0.00",,"$0.00","Saved With Errors","","Electronic","Primary Dental","JSMITH","3333333333","delta dental of tn","cdtn1","(800) 223-3104","8404","Williamson County Goverment","PPO","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,5/30/2023,"In 30","Over 120",57,"Smith, Jo","1363","06/05/1987","Smith, Jo","11111111111","Regular","$111.00","$0.00","$0.00",,"$0.00","Saved","","Paper Based","Primary Dental","AKLINE","1922529908","Cigna","","(800) 244-6224","25252","Cigna","Indemnity","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,5/30/2023,"In 30","Over 120",58,"Smith, Jo","1363","06/05/1987","Smith, Jo","11111111111","Regular","$315.00","$0.00","$0.00",,"$0.00","Saved With Errors","","Paper Based","Primary Dental","JSMITH","3333333333","Cigna","","(800) 244-6224","25252","Cigna","Indemnity","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,4/12/2023,"In 30","Over 120",59,"Adams, Katy","1291","11/16/1949","Adams, Katy","123123123","Regular","$97.00","$0.00","$0.00",,"$0.00","Saved","","Electronic","Primary Dental","AKLINE","1922529908","delta dental of tn","cdtn1","(800) 223-3104","8404","Williamson County Goverment","PPO","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,4/5/2023,"In 30","Over 120",60,"Jakub, Taylor","1343","02/02/1992","Jakub, Taylor","123456789","Regular","$220.00","$0.00","$0.00",,"$0.00","Saved With Errors","","Electronic","Primary Dental","JSMITH","3333333333","Delta Dental GA","914738451","(800) 524-0149","3365","Jason Smith","PPO","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,4/21/2023,"In 30","Over 120",61,"CareStack, Child 1","1002","03/01/2018","CareStack, Dad","12323213","Regular","$97.00","$78.00","$0.00",,"$78.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Aetna (Multiple Address Example)","","(800) 451-7715","123098","Aetna Plan A","PPO","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,4/20/2023,"In 30","Over 120",62,"Richardson, Joseph","1066","02/16/1978","Quintero, Adrian","123456789","Regular","$315.00","$252.00","$0.00",,"$252.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Delta Dental of California","","","12345","Delta Dental of California","PPO","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,4/19/2023,"In 30","Over 120",64,"Builder, Bob","1219","12/15/1969","Builder, Bob","999999999","Regular","$97.00","$97.00","$0.00",,"$97.00","Saved With Errors","","Paper Based","Primary Dental","JSMITH","3333333333","Delta Dental of California","","","11111111","Delta Dental MOCK Plan","PPO","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,4/4/2023,"In 30","Over 120",65,"Belkic, Vesna","1313","01/01/2000","Belkic, Vesna","12345678","Regular","$1,497.00","$0.00","$0.00",,"$0.00","Saved","","Electronic","Primary Dental","AKLINE","1922529908","delta dental of tn","cdtn1","(800) 223-3104","8404","Williamson County Goverment","PPO","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,4/4/2023,"In 30","Over 120",66,"Test, Test","1342","06/10/1999","Test, Test","45454585","Regular","$370.00","$0.00","$0.00",,"$0.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Cigna","","(800) 244-6224","123456","Disney Plan A","PPO","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,6/8/2023,"In 30","Over 120",67,"Schwab, Charles","1372","02/06/2013","Schwab, Charles","1234","Regular","$789.00","$0.00","$0.00",,"$0.00","Saved With Errors","","Paper Based","Primary Dental","JSMITH","3333333333","Aetna (Multiple Address Example)","","(800) 451-7715","123098","Aetna Plan A","PPO","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,6/8/2023,"In 30","Over 120",68,"Schwab, Charles","1372","02/06/2013","Schwab, Charles","1234","Regular","$612.00","$0.00","$0.00",,"$0.00","Saved","","Paper Based","Primary Dental","AKLINE","1922529908","Aetna (Multiple Address Example)","","(800) 451-7715","123098","Aetna Plan A","PPO","Claim Remarks - 
Notes - ",6/9/2023,"Hall, Dan"
"COLUMBIA",,,5/31/2023,"In 30","Over 120",69,"Bacon, Candy ","1320","01/01/1980","Bacon, Candy ","123456","Regular","$475.00","$0.00","$0.00",,"$0.00","Saved","","Paper Based","Primary Dental","BSMILE","7777777777","Cigna","","(800) 244-6224","25252","Cigna","Indemnity","Claim Remarks - asdf
Notes - ",10/25/2023,"Wilson, James"
"COLUMBIA",,,6/8/2023,"In 30","Over 120",70,"Bacon, Candy ","1320","01/01/1980","Bacon, Candy ","123456","Regular","$0.00","$0.00","$0.00",,"$0.00","On Hold","","Paper Based","Primary Dental","AKLINE","1922529908","Cigna","","(800) 244-6224","25252","Cigna","Indemnity","Claim Remarks - hold period
Notes - ",10/25/2023,"Wilson, James"
"COLUMBIA",,,6/8/2023,"In 30","Over 120",71,"Bacon, Candy ","1320","01/01/1980","Bacon, Candy ","123456","Regular","$0.00","$0.00","$0.00",,"$0.00","On Hold","","Paper Based","Primary Dental","JSMITH","3333333333","Cigna","","(800) 244-6224","25252","Cigna","Indemnity","Claim Remarks - hold period,na,na
Notes - ",2/24/2024,"Sanchez, Sergio"
"COLUMBIA",10/25/2023,10/25/2023,6/8/2023,"Over 120","Over 120",72,"Webber, Kate","1373","01/01/2016","Webber, Kate","123456","Regular","$1,172.00","$0.00","$0.00",,"$0.00","Submitted (Payor)","","Paper Based","Primary Dental","AKLINE","1922529908","Cigna","","(800) 244-6224","123456","Disney Plan A","PPO","Claim Remarks - 
Notes - ",10/25/2023,"Wilson, James"
"COLUMBIA",10/25/2023,10/25/2023,6/20/2023,"Over 120","Over 120",73,"Famous, Michelle","1379","04/28/1978","Famous, Michelle","466354442","Regular","$232.00","$232.00","$0.00",,"$232.00","Submitted (Payor)","","Paper Based","Primary Dental","AKLINE","1922529908","Delta Dental of California","","","55123","General Motors Hourly","PPO","Claim Remarks - Needs xrayt
Notes - ",10/25/2023,"Wilson, James"
"COLUMBIA",10/25/2023,10/25/2023,7/7/2023,"Over 120","Over 120",74,"Jones, Tome","1374","01/01/2000","Jones, Tome","***-**-6789","Regular","$293.00","$146.50","$0.00",,"$146.50","Submitted (Payor)","","Paper Based","Primary Dental","JSMITH","3333333333","Delta Dental of California","","","55123","General Motors Hourly","PPO","Claim Remarks - 
Notes - ",10/25/2023,"Wilson, James"
"COLUMBIA",,,7/7/2023,"In 30","Over 120",75,"Adams, Katy","1291","11/16/1949","Adams, Katy","123123123","Regular","$903.00","$0.00","$0.00",,"$0.00","On Hold","","Electronic","Primary Dental","AKLINE","1922529908","delta dental of tn","cdtn1","(800) 223-3104","8404","Williamson County Goverment","PPO","Claim Remarks - na,test
Notes - ",7/16/2025,"Applequist, Tiara"
"HWD",10/25/2023,10/25/2023,8/1/2023,"Over 120","Over 120",76,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$60.00","$0.00",,"$60.00","Partially Paid","","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - Resubmit 
Notes - ",2/2/2025,"Dong, Kevin"
"COLUMBIA",,,8/10/2023,"In 30","Over 120",77,"Gilon, Michael","1393","05/09/2013","Gilon, David","23481728374","Regular","$262.00","$0.00","$0.00",,"$0.00","Ready To Send","","Electronic","Primary Dental","BSMILE","7777777777","Delta Dental of Ma","0048959903","(800) 222-2222","01256","Iron Mountain","PPO","Claim Remarks - 
Notes - ",8/11/2023,"Gilon, David"
"COLUMBIA",10/25/2023,10/25/2023,8/14/2023,"Over 120","Over 120",78,"Ross, Gaynell","1394","08/04/2023","Ross, Gaynell","2222222222","Regular","$234.00","$234.00","$0.00",,"$234.00","Submitted (Payor)","","Paper Based","Primary Dental","JSMITH","3333333333","Cigna","","(800) 244-6224","23456","Disney WDW","PPO","Claim Remarks - 
Notes - ",10/25/2023,"Wilson, James"
"COLUMBIA",,,9/15/2023,"In 30","Over 120",79,"Smith, John ","1325","01/01/2000","Smith, John ","1200223321","Regular","$1,211.00","$0.00","$0.00",,"$0.00","Saved","","Electronic","Primary Dental","JSMITH","3333333333","Delta Dental GA","914738451","(800) 524-0149","3365","Jason Smith","PPO","Claim Remarks - Narrativehj,fgsdgdf
Notes - ",5/16/2025,"Russell, Betsy"
"HWD",,,11/1/2023,"In 30","Over 120",80,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$60.00","$0.00",,"$60.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - 
Notes - ",11/1/2023,"User, System"
"COLUMBIA",,,11/29/2023,"In 30","Over 120",81,"Bacon, Wimpy","1357","06/12/2015","Bacon, Candy ","99999999","Regular","$508.00","$0.00","$0.00",,"$0.00","Saved","","Paper Based","Primary Dental","AKLINE","1922529908","Cigna","","(800) 244-6224","123232","Private Insurance","Indemnity","Claim Remarks - 
Notes - ",11/29/2023,"Hooker, Candra"
"COLUMBIA",,,1/12/2024,"In 30","Over 120",82,"Sasy, Kishmish","1455","03/21/2017","Sasy, Kishmish","464456466464","Regular","$432.00","$0.00","$0.00",,"$0.00","Saved With Errors","","Paper Based","Primary Dental","JSMITH","3333333333","Cigna","","(800) 244-6224","25252","Cigna","Indemnity","Claim Remarks - 
Notes - ",1/12/2024,"natepanahivdg@gmail.com, Nate"
"HWD",,,2/1/2024,"In 30","Over 120",83,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$60.00","$0.00",,"$60.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - 
Notes - ",2/1/2024,"User, System"
"COLUMBIA",,,2/22/2024,"In 30","Over 120",84,"Bacon, Candy ","1320","01/01/1980","Bacon, Candy ","123456","Regular","$187.00","$93.50","$0.00",,"$93.50","Saved","","Paper Based","Primary Dental","AKLINE","1922529908","Cigna","","(800) 244-6224","25252","Cigna","Indemnity","Claim Remarks - na
Notes - ",2/24/2024,"Sanchez, Sergio"
"COLUMBIA",,,2/22/2024,"In 30","Over 120",85,"Bacon, Candy ","1320","01/01/1980","Bacon, Candy ","123456","Regular","$97.00","$97.00","$0.00",,"$97.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Cigna","","(800) 244-6224","25252","Cigna","Indemnity","Claim Remarks - 
Notes - ",2/24/2024,"Sanchez, Sergio"
"COLUMBIA",,,2/22/2024,"In 30","Over 120",88,"Bacon, Candy ","1320","01/01/1980","Bacon, Candy ","123456","Regular","$187.00","$93.50","$0.00",,"$93.50","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Cigna","","(800) 244-6224","25252","Cigna","Indemnity","Claim Remarks - 
Notes - ",2/24/2024,"Sanchez, Sergio"
"COLUMBIA",,,1/10/2024,"In 30","Over 120",89,"AA , Bruno Test","1290","11/09/2022","AA , Bruno Test","9999","Regular","$1,473.00","$0.00","$0.00",,"$0.00","Saved With Errors","","Electronic","Primary Dental","BSMILE","7777777777","Delta Dental GA","914738451","(800) 524-0149","3365","Jason Smith","PPO","Claim Remarks - 
Notes - ",2/24/2024,"Sanchez, Sergio"
"COLUMBIA",,,2/8/2024,"In 30","Over 120",90,"Bacon, Wimpy","1357","06/12/2015","Bacon, Candy ","99999999","Regular","$187.00","$75.00","$0.00",,"$75.00","Saved","","Paper Based","Primary Dental","AKLINE","1922529908","Cigna","","(800) 244-6224","123232","Private Insurance","Indemnity","Claim Remarks - 
Notes - ",2/24/2024,"Sanchez, Sergio"
